borough,hour,congestion_ratio
Camden,0,1.1181520637543094
Camden,1,1.0446218701000758
Camden,2,1.0054786023279152
Camden,3,0.9843252243702227
Camden,4,1.005702772011497
Camden,5,1.0729543992090531
Camden,6,1.2125231128739944
Camden,7,1.5150943878954661
Camden,8,1.8051745203048666
Camden,9,1.727298251497274
Camden,10,1.7411062646276216
Camden,11,1.7502473215691805
Camden,12,1.7502169667598828
Camden,13,1.7133199063585258
Camden,14,1.7149789628405911
Camden,15,1.8107961310570886
Camden,16,1.8203498251170653
Camden,17,1.7470796783609617
Camden,18,1.6667052720900095
Camden,19,1.5110131505918203
Camden,20,1.3706216866088754
Camden,21,1.3244313540898227
Camden,22,1.3078225373973686
Camden,23,1.2207461098239871
City of London,0,1.1800239792781673
City of London,1,1.0821464789295436
City of London,2,1.0161103086170016
City of London,3,0.9813959839282508
City of London,4,0.9726547844117652
City of London,5,1.0168677064044285
City of London,6,1.2432421959268294
City of London,7,1.503039459940478
City of London,8,1.8016638718211095
City of London,9,1.9785843672642425
City of London,10,1.9570923212812015
City of London,11,1.9263225746378632
City of London,12,1.9466925060602518
City of London,13,1.8955102106532293
City of London,14,1.7895152598900022
City of London,15,1.713744668343815
City of London,16,1.679501228367203
City of London,17,1.7090691766593484
City of London,18,1.718976957853989
City of London,19,1.5285193437461555
City of London,20,1.4219689077851907
City of London,21,1.350808559053867
City of London,22,1.3680983569480578
City of London,23,1.2967026807042732
Greenwich,0,1.0835463557758083
Greenwich,1,1.0475498725393078
Greenwich,2,1.0315374119910534
Greenwich,3,1.0108076767107816
Greenwich,4,1.0001887508810816
Greenwich,5,1.0869113489149305
Greenwich,6,1.3439549890315874
Greenwich,7,1.6054217800139017
Greenwich,8,1.7251271781930173
Greenwich,9,1.5199363531469068
Greenwich,10,1.3916072880432333
Greenwich,11,1.372957227582641
Greenwich,12,1.394778263887993
Greenwich,13,1.390983967585551
Greenwich,14,1.4301011054212087
Greenwich,15,1.6143844237877234
Greenwich,16,1.705987365073028
Greenwich,17,1.6964170510742536
Greenwich,18,1.530681710305324
Greenwich,19,1.3400912519376935
Greenwich,20,1.2377227301706044
Greenwich,21,1.195824828158659
Greenwich,22,1.168344305327471
Greenwich,23,1.1603703550418345
Hackney,0,1.0892795597529144
Hackney,1,1.031002154482201
Hackney,2,1.0019775682441827
Hackney,3,0.978881191530179
Hackney,4,0.9686242975755205
Hackney,5,0.9986957456012198
Hackney,6,1.205615548527128
Hackney,7,1.5100352733143683
Hackney,8,1.6906390146994252
Hackney,9,1.6150968050263934
Hackney,10,1.5341355865988722
Hackney,11,1.5037478489252971
Hackney,12,1.5264995224015923
Hackney,13,1.5362188472653187
Hackney,14,1.5661936186775436
Hackney,15,1.685074863890668
Hackney,16,1.7015226590682921
Hackney,17,1.6937554047456416
Hackney,18,1.5994291854667617
Hackney,19,1.452514012780698
Hackney,20,1.335384330763267
Hackney,21,1.2715384790632696
Hackney,22,1.2570439941415568
Hackney,23,1.2032302908112105
Hammersmith and Fulham,0,1.101141180337662
Hammersmith and Fulham,1,1.0592681729352114
Hammersmith and Fulham,2,1.0405006846868492
Hammersmith and Fulham,3,1.0159046165778112
Hammersmith and Fulham,4,1.0009553996139078
Hammersmith and Fulham,5,1.0329693626100085
Hammersmith and Fulham,6,1.2480861412284354
Hammersmith and Fulham,7,1.6304570865447046
Hammersmith and Fulham,8,1.9028123683496345
Hammersmith and Fulham,9,1.7668857410012275
Hammersmith and Fulham,10,1.6439427194444016
Hammersmith and Fulham,11,1.6469205086022292
Hammersmith and Fulham,12,1.6616399358819691
Hammersmith and Fulham,13,1.6831727788032662
Hammersmith and Fulham,14,1.80859340132672
Hammersmith and Fulham,15,1.9209079458543779
Hammersmith and Fulham,16,2.0366488210004126
Hammersmith and Fulham,17,2.031906376933703
Hammersmith and Fulham,18,1.8257140403311944
Hammersmith and Fulham,19,1.5140596451561024
Hammersmith and Fulham,20,1.3594017347575642
Hammersmith and Fulham,21,1.2992957237998048
Hammersmith and Fulham,22,1.2741971916638277
Hammersmith and Fulham,23,1.194049969795334
Islington,0,1.1072216784823532
Islington,1,1.0534194041639469
